### Q((amu)^(1/2)*ang)   Etot(eV) 
-1.0   -3426.71105328 
-0.7272727272727273   -3426.72447033 
-0.4545454545454546   -3426.73554106 
-0.18181818181818188   -3426.74443317 
0.36363636363636354   -3426.75632052 
0.09090909090909083   -3426.75130926 
0.6363636363636362   -3426.75961601 
0.909090909090909   -3426.76132905 
1.1818181818181817   -3426.76159492 
1.4545454545454541   -3426.76054083 
1.727272727272727   -3426.75828593 
2.0   -3426.75494519 
